sequence,rtt_us,ok,discarded_bytes,recovered_crc_frames
0,7973.454,1,103,0
1,7897.324,1,61,0
2,7979.138,1,98,0
3,7943.046,1,53,0
4,7971.86,1,95,0
5,7975.38,1,45,0
6,7977.417,1,95,0
7,7967.601,1,34,0
8,8006.157,1,86,0
9,7945.213,1,22,0
10,7977.509,1,75,0
11,7975.064,1,13,0
12,7973.75,1,65,0
13,7976.472,1,98,0
14,7995.491,1,54,0
15,7958.046,1,95,0
16,7975.194,1,43,0
17,7976.269,1,95,0
18,7988.25,1,33,0
19,7968.639,1,84,0
20,7970.916,1,22,0
21,7978.435,1,74,0
22,7974.342,1,12,0
23,7982.657,1,63,0
24,7986.12,1,95,0
25,7963.25,1,52,0
26,7995.879,1,95,0
27,7963.972,1,41,0
28,7966.268,1,93,0
29,8167.786,1,31,0
30,7840.028,1,70,0
31,8009.12,1,17,0
32,7881.768,1,67,0
33,8006.158,1,102,0
34,7888.676,1,59,0
35,8044.916,1,95,0
36,7891.175,1,47,0
37,8032.212,1,95,0
38,7930.139,1,36,0
39,7971.324,1,88,0
40,7935.972,1,27,0
41,7949.213,1,78,0
42,7996.176,1,111,0
43,8033.064,1,66,0
44,7899.102,1,95,0
45,7972.212,1,54,0
46,11895.486,1,95,0
47,7921.416,1,107,0
48,7953.546,1,62,0
49,11913.3,1,95,0
50,11910.579,1,117,0
51,7964.786,1,44,0
52,6191.845,1,285,0
53,11658.023,1,122,0
54,8054.509,1,58,0
55,7948.49,1,95,0
56,7902.379,1,44,0
57,7987.305,1,95,0
58,7971.046,1,35,0
59,7932.75,1,84,0
60,7951.398,1,23,0
61,7942.934,1,75,0
62,7951.823,1,105,0
63,7932.398,1,64,0
64,7967.972,1,100,0
65,12005.523,1,57,0
66,7939.879,1,75,0
67,7969.176,1,15,0
68,11999.69,1,67,0
69,7955.435,1,86,0
70,7973.62,1,25,0
71,7977.416,1,77,0
72,7978.99,1,15,0
73,7996.324,1,66,0
74,7950.491,1,97,0
75,7972.361,1,55,0
76,7990.361,1,95,0
77,7976.139,1,44,0
78,7958.953,1,95,0
79,7969.916,1,34,0
80,8034.971,1,85,0
81,7920.769,1,21,0
82,7970.898,1,75,0
83,7975.361,1,13,0
84,7989.12,1,65,0
85,7973.231,1,97,0
86,12075.578,1,55,0
87,7872.305,1,69,0
88,7955.046,1,105,0
89,7964.639,1,64,0
90,7974.139,1,97,0
91,7988.176,1,53,0
92,7959.843,1,95,0
93,7972.379,1,43,0
94,7973.49,1,95,0
95,7985.713,1,33,0
96,7968.416,1,84,0
97,7975.268,1,22,0
98,8015.602,1,73,0
99,7948.157,1,101,0
