kind,sequence,rtt_us,ok
response,0,1567.961,1
response,1,1755.869,1
response,2,2809.904,1
response,3,5077.716,1
response,4,5125.531,1
response,5,2810.071,1
response,6,3132.200,1
response,7,2886.015,1
response,8,2823.923,1
response,9,2586.941,1
response,10,2868.089,1
response,11,2562.812,1
response,12,2565.423,1
response,13,4192.939,1
response,14,4230.736,1
response,15,3752.088,1
response,16,4203.254,1
response,17,3712.292,1
response,18,3703.551,1
response,19,3668.421,1
response,20,3759.718,1
response,21,3203.163,1
response,22,3731.903,1
response,23,3282.070,1
response,24,3258.367,1
response,25,3263.996,1
response,26,3352.052,1
response,27,2800.664,1
response,28,3317.867,1
response,29,2854.238,1
response,30,2762.756,1
response,31,2890.663,1
response,32,2843.608,1
response,33,5204.365,1
response,34,5076.160,1
response,35,4678.531,1
response,36,4566.476,1
response,37,4735.327,1
response,38,4182.644,1
response,39,4619.365,1
response,40,4252.458,1
response,41,4111.328,1
response,42,4229.940,1
response,43,4246.939,1
response,44,3770.181,1
response,45,4232.013,1
response,46,3733.310,1
response,47,3661.218,1
response,48,3708.551,1
response,49,3746.977,1
response,50,3286.071,1
response,51,3726.403,1
response,52,3297.070,1
response,53,3294.904,1
response,54,3229.774,1
response,55,3327.867,1
response,56,2859.218,1
response,57,3283.089,1
response,58,2837.182,1
response,59,2857.867,1
response,60,5167.808,1
response,61,5013.105,1
response,62,4646.958,1
response,63,4678.865,1
response,64,4707.273,1
response,65,4155.069,1
response,66,4271.587,1
response,67,4188.754,1
response,68,3797.681,1
response,69,1317.036,1
response,70,3747.162,1
response,71,3732.551,1
response,72,2307.868,1
response,73,2281.349,1
response,74,2026.405,1
response,75,2292.089,1
response,76,2006.516,1
response,77,2018.757,1
response,78,1986.461,1
response,79,2007.294,1
response,80,1738.202,1
response,81,2007.756,1
response,82,1729.369,1
response,83,1704.887,1
response,84,1752.813,1
response,85,1738.424,1
response,86,3068.700,1
response,87,3109.941,1
response,88,2859.182,1
response,89,3112.200,1
response,90,2802.201,1
response,91,2808.626,1
response,92,2858.219,1
response,93,2859.238,1
response,94,2580.515,1
response,95,2793.570,1
response,96,2577.553,1
response,97,2535.812,1
response,98,2294.794,1
response,99,2552.182,1
response,100,2275.183,1
response,101,2291.016,1
response,102,2292.534,1
response,103,2282.683,1
response,104,2028.776,1
response,105,2275.757,1
response,106,1981.090,1
response,107,2022.998,1
response,108,2002.386,1
response,109,2020.461,1
response,110,1731.961,1
response,111,1987.497,1
response,112,1749.868,1
response,113,1734.869,1
response,114,1719.035,1
response,115,1696.109,1
response,116,1462.887,1
response,117,1732.238,1
response,118,2813.589,1
response,119,3085.626,1
response,120,2809.385,1
response,121,2833.775,1
response,122,2845.774,1
response,123,2830.144,1
response,124,2566.127,1
response,125,2816.144,1
response,126,2567.700,1
response,127,2564.478,1
response,128,2572.312,1
response,129,2554.163,1
response,130,2278.905,1
response,131,2506.478,1
response,132,2270.183,1
response,133,2282.942,1
response,134,2303.108,1
response,135,2299.479,1
response,136,2005.220,1
response,137,2287.386,1
response,138,2003.609,1
response,139,2000.738,1
response,140,1993.923,1
response,141,2014.627,1
response,142,1744.017,1
response,143,2003.368,1
response,144,1737.979,1
response,145,1696.831,1
response,146,1461.498,1
response,147,1720.239,1
response,148,2809.700,1
response,149,3118.200,1
response,150,2790.701,1
response,151,2833.238,1
response,152,2838.960,1
response,153,2834.812,1
response,154,2571.497,1
response,155,2858.256,1
response,156,2572.311,1
response,157,2581.830,1
response,158,2554.645,1
response,159,2568.645,1
response,160,2294.941,1
response,161,2545.478,1
response,162,2274.571,1
response,163,2298.016,1
response,164,2274.423,1
response,165,2293.738,1
response,166,2020.368,1
response,167,2280.219,1
response,168,2011.108,1
response,169,1990.423,1
response,170,2019.350,1
response,171,2004.387,1
response,172,1726.331,1
response,173,1993.257,1
response,174,1732.035,1
response,175,1734.739,1
response,176,1722.368,1
response,177,1732.257,1
response,178,3081.848,1
response,179,3102.959,1
response,180,2855.775,1
response,181,3105.237,1
response,182,2831.996,1
response,183,2803.238,1
response,184,2532.868,1
response,185,2859.367,1
response,186,2558.571,1
response,187,2569.571,1
response,188,2560.515,1
response,189,2531.793,1
response,190,2284.664,1
response,191,2582.256,1
response,192,2286.552,1
response,193,2323.442,1
response,194,2315.701,1
response,195,2266.572,1
response,196,2011.609,1
response,197,2275.997,1
response,198,1995.331,1
response,199,2010.794,1
response,200,2025.516,1
response,201,2013.868,1
response,202,1732.128,1
response,203,2008.127,1
response,204,1728.628,1
response,205,1749.868,1
response,206,1742.757,1
response,207,1735.257,1
response,208,1461.239,1
response,209,1722.443,1
response,210,2827.441,1
response,211,3122.793,1
response,212,2805.015,1
response,213,2831.311,1
response,214,2838.496,1
response,215,2804.812,1
response,216,2574.645,1
response,217,2822.201,1
response,218,2533.756,1
response,219,2530.553,1
response,221,2548.293,1
response,222,2288.108,1
response,223,2541.534,1
response,224,2307.460,1
response,225,2265.552,1
response,226,2274.998,1
response,227,2285.515,1
response,228,2025.702,1
