kind,sequence,rtt_us,ok
response,0,1972.738,1
response,1,3549.940,1
response,2,1014.610,1
response,3,2660.034,1
response,4,187.370,1
response,5,190.371,1
response,6,3394.996,1
response,7,1006.351,1
response,8,2494.960,1
response,9,180.703,1
response,10,196.241,1
response,11,3361.144,1
response,12,850.481,1
response,13,190.722,1
response,14,191.018,1
response,15,178.760,1
response,16,3220.626,1
response,17,837.110,1
response,18,2374.237,1
response,19,188.092,1
response,20,188.889,1
response,21,3058.552,1
response,22,684.185,1
response,23,2298.738,1
response,24,376.555,1
response,25,1551.664,1
response,26,3235.773,1
response,27,570.907,1
response,28,2258.238,1
response,29,3775.051,1
response,30,183.907,1
response,31,2969.385,1
response,32,190.315,1
response,33,2130.423,1
response,34,175.314,1
response,35,1249.740,1
response,36,3053.034,1
response,37,346.685,1
response,38,1985.682,1
response,39,3604.755,1
response,40,1080.869,1
response,41,2715.219,1
response,42,523.833,1
response,43,1852.720,1
response,44,3582.478,1
response,45,1263.184,1
response,46,2592.756,1
response,47,177.278,1
response,48,1805.072,1
response,49,3429.829,1
response,50,910.184,1
response,51,2538.627,1
response,52,185.852,1
response,53,1645.257,1
response,54,3280.181,1
response,55,884.091,1
response,56,2391.183,1
response,57,4031.791,1
response,58,1637.035,1
response,59,173.370,1
response,60,757.129,1
response,61,2359.664,1
response,62,3859.551,1
response,63,1490.276,1
response,64,3101.219,1
response,65,590.740,1
response,66,2206.424,1
response,67,3837.774,1
response,68,1458.943,1
response,69,2948.496,1
response,70,574.463,1
response,71,2382.035,1
response,72,362.721,1
response,73,1510.072,1
response,74,2937.163,1
response,75,419.759,1
response,76,2056.498,1
response,77,3666.477,1
response,78,1179.128,1
response,79,2931.533,1
response,80,605.203,1
response,81,174.685,1
response,82,185.722,1
response,83,1327.239,1
response,84,171.908,1
response,85,249.518,1
response,86,1876.664,1
response,87,3491.941,1
response,88,976.925,1
response,89,2608.701,1
response,90,410.722,1
response,91,295.870,1
response,92,3529.792,1
response,93,972.258,1
response,94,2460.016,1
response,95,192.630,1
response,96,1699.480,1
response,97,3195.089,1
response,98,186.204,1
response,99,2435.349,1
response,100,376.088,1
response,101,1622.604,1
response,102,3183.011,1
response,103,421.899,1
response,104,1906.963,1
response,105,3424.820,1
response,106,1140.434,1
response,107,2405.411,1
response,108,275.915,1
response,109,1528.931,1
response,110,2746.358,1
response,111,273.860,1
response,112,1784.905,1
response,113,3164.704,1
response,114,864.224,1
response,115,2390.083,1
response,116,3623.825,1
response,117,1121.105,1
response,118,415.919,1
response,119,360.574,1
response,120,1669.215,1
response,121,185.166,1
response,122,437.362,1
response,123,1963.982,1
response,124,3489.066,1
response,125,189.777,1
response,126,2381.255,1
response,127,185.852,1
response,128,185.647,1
response,129,2816.360,1
response,130,344.113,1
response,131,1866.050,1
response,132,3248.540,1
response,133,789.716,1
response,134,185.408,1
response,135,3690.145,1
response,136,1211.396,1
response,137,2913.539,1
response,138,235.106,1
response,139,281.249,1
response,140,3361.459,1
response,141,564.111,1
response,142,2076.830,1
response,143,183.037,1
response,144,1127.406,1
response,145,2504.640,1
response,146,184.945,1
response,147,1743.938,1
response,148,3043.477,1
response,149,663.453,1
response,150,2178.266,1
response,151,3451.012,1
response,152,1119.075,1
response,153,2644.555,1
response,154,361.335,1
response,155,1531.480,1
response,156,295.638,1
response,157,305.285,1
response,158,187.186,1
response,159,3341.379,1
response,160,734.300,1
response,161,2258.911,1
response,162,182.445,1
response,163,1301.152,1
response,164,2707.184,1
response,165,249.328,1
response,166,1768.367,1
response,167,3162.919,1
response,168,694.433,1
response,169,2226.787,1
response,170,3615.951,1
response,171,1156.057,1
response,172,2676.394,1
response,173,248.977,1
response,174,1603.144,1
response,175,3133.963,1
response,176,526.988,1
response,177,2054.714,1
response,178,3577.571,1
response,179,1013.701,1
response,180,2509.672,1
response,181,190.834,1
response,182,1568.446,1
response,183,2964.020,1
response,184,504.398,1
response,185,2029.108,1
response,186,3424.534,1
response,187,961.726,1
response,188,2490.048,1
response,189,3887.196,1
response,190,1437.312,1
response,191,3127.434,1
response,192,373.669,1
response,193,1887.475,1
response,194,3600.578,1
response,195,819.314,1
response,196,2355.896,1
response,197,4085.258,1
response,198,1302.289,1
response,199,2803.727,1
response,200,335.988,1
response,201,2059.147,1
response,202,3358.734,1
response,203,981.134,1
response,204,2517.848,1
response,205,368.189,1
response,206,1282.885,1
response,207,310.361,1
response,208,272.050,1
response,209,184.317,1
response,210,399.983,1
response,211,684.106,1
response,212,2231.339,1
response,213,3757.149,1
response,214,173.651,1
response,215,2695.336,1
response,216,423.703,1
response,217,1676.797,1
response,218,3269.620,1
response,219,701.457,1
response,220,2408.956,1
response,221,3640.774,1
response,222,1369.399,1
response,223,2717.078,1
response,224,257.829,1
response,225,188.854,1
response,226,3363.875,1
response,227,359.228,1
response,228,2304.894,1
response,229,3673.683,1
response,230,1077.704,1
response,231,2623.256,1
response,232,184.170,1
response,233,1558.737,1
response,234,3107.049,1
response,235,797.154,1
response,236,2043.382,1
response,237,3571.789,1
response,238,1118.608,1
response,239,2658.386,1
response,240,178.429,1
response,241,1605.845,1
response,242,3141.754,1
response,243,541.214,1
response,244,2089.287,1
response,245,3626.325,1
response,246,1039.598,1
response,247,2588.005,1
response,248,187.280,1
response,249,1527.225,1
response,250,3077.132,1
response,251,600.191,1
response,252,2035.924,1
response,253,3689.916,1
response,254,389.171,1
response,255,2545.383,1
response,256,4044.037,1
response,257,1586.703,1
response,258,3126.724,1
response,259,621.375,1
response,260,2272.240,1
response,261,3785.431,1
response,262,1098.596,1
response,263,2574.661,1
response,264,183.503,1
response,265,1524.431,1
response,266,3074.547,1
response,267,215.927,1
response,268,2019.355,1
response,269,3573.471,1
response,270,1115.632,1
response,271,175.337,1
response,272,183.893,1
response,273,1608.963,1
response,274,3009.185,1
response,275,176.227,1
response,276,2102.407,1
response,277,3644.858,1
response,278,1056.619,1
response,279,368.896,1
response,280,422.985,1
response,281,1637.240,1
response,282,3291.776,1
response,283,649.282,1
response,284,2061.004,1
response,285,3790.461,1
response,286,1157.279,1
response,287,2596.630,1
response,288,301.106,1
response,289,1833.135,1
response,290,3112.479,1
response,291,752.294,1
response,292,2336.004,1
response,293,3573.648,1
response,294,1120.005,1
response,295,2671.256,1
response,296,219.557,1
response,297,1624.023,1
response,298,184.412,1
response,299,724.315,1
response,300,2132.133,1
response,301,3690.643,1
response,302,1388.672,1
response,303,2690.906,1
response,304,366.787,1
response,305,1927.261,1
response,306,3189.925,1
response,307,708.854,1
response,308,2246.626,1
response,309,3698.757,1
response,310,1348.306,1
response,311,2768.458,1
response,312,261.036,1
response,313,187.449,1
response,314,3279.013,1
response,315,828.919,1
response,316,2236.944,1
response,317,3966.426,1
response,318,1341.104,1
response,319,2764.869,1
response,320,318.366,1
response,321,1865.121,1
response,322,3270.758,1
response,323,185.486,1
response,324,2557.033,1
response,325,3796.201,1
response,326,1509.185,1
response,327,3068.904,1
response,328,331.346,1
response,329,1998.298,1
response,330,3655.195,1
response,331,835.588,1
response,332,2386.400,1
response,333,4142.994,1
response,334,1676.749,1
response,335,2911.548,1
response,336,458.041,1
response,337,2014.095,1
response,338,3432.215,1
response,339,984.448,1
response,340,2537.077,1
response,341,327.013,1
response,342,1516.262,1
response,343,3061.614,1
