kind,sequence,rtt_us,ok
response,0,2709.404,1
response,1,400.111,1
response,2,1766.868,1
response,3,3390.052,1
response,4,869.906,1
response,5,192.722,1
response,6,189.629,1
response,7,1608.183,1
response,8,3309.829,1
response,9,853.610,1
response,10,2660.516,1
response,11,284.222,1
response,12,1594.665,1
response,13,3403.107,1
response,14,780.166,1
response,15,192.222,1
response,16,4139.550,1
response,17,375.611,1
response,18,3212.645,1
response,19,682.054,1
response,20,2174.720,1
response,21,3798.866,1
response,22,1589.924,1
response,23,2901.200,1
response,24,540.277,1
response,25,2149.775,1
response,26,3636.311,1
response,27,1258.258,1
response,28,3055.793,1
response,29,671.962,1
