index,time_from_trigger_s,sample_signed_approx_24bit,trigger,frame_error_latched
0,-1.550411852,-8192,0,0
1,-1.548894815,-5120,0,0
2,-1.547377778,-5120,0,0
3,-1.545860741,-4096,0,0
4,-1.544343704,-5120,0,0
5,-1.542826667,-3072,0,0
6,-1.541309630,-3072,0,0
7,-1.539792593,-4096,0,0
8,-1.538275556,-2048,0,0
9,-1.536758519,-2048,0,0
10,-1.535241481,-5120,0,0
11,-1.533724444,-3072,0,0
12,-1.532207407,-2048,0,0
13,-1.530690370,-5120,0,0
14,-1.529173333,-4096,0,0
15,-1.527656296,-2048,0,0
16,-1.526139259,-4096,0,0
17,-1.524622222,-3072,0,0
18,-1.523105185,-6144,0,0
19,-1.521588148,-3072,0,0
20,-1.520071111,-4096,0,0
21,-1.518554074,-5120,0,0
22,-1.517037037,-3072,0,0
23,-1.515520000,-3072,0,0
24,-1.514002963,-4096,0,0
25,-1.512485926,-2048,0,0
26,-1.510968889,-2048,0,0
27,-1.509451852,-3072,0,0
28,-1.507934815,-1024,0,0
29,-1.506417778,0,0,0
30,-1.504900741,-1024,0,0
31,-1.503383704,-2048,0,0
32,-1.501866667,-1024,0,0
33,-1.500349630,1024,0,0
34,-1.498832593,2048,0,0
35,-1.497315556,3072,0,0
36,-1.495798519,3072,0,0
37,-1.494281481,3072,0,0
38,-1.492764444,5120,0,0
39,-1.491247407,6144,0,0
40,-1.489730370,8192,0,0
41,-1.488213333,4096,0,0
42,-1.486696296,4096,0,0
43,-1.485179259,5120,0,0
44,-1.483662222,5120,0,0
45,-1.482145185,6144,0,0
46,-1.480628148,3072,0,0
47,-1.479111111,6144,0,0
48,-1.477594074,4096,0,0
49,-1.476077037,3072,0,0
50,-1.474560000,5120,0,0
51,-1.473042963,3072,0,0
52,-1.471525926,5120,0,0
53,-1.470008889,6144,0,0
54,-1.468491852,5120,0,0
55,-1.466974815,6144,0,0
56,-1.465457778,8192,0,0
57,-1.463940741,5120,0,0
58,-1.462423704,2048,0,0
59,-1.460906667,2048,0,0
60,-1.459389630,4096,0,0
61,-1.457872593,3072,0,0
62,-1.456355556,3072,0,0
63,-1.454838519,4096,0,0
64,-1.453321481,5120,0,0
65,-1.451804444,4096,0,0
66,-1.450287407,5120,0,0
67,-1.448770370,6144,0,0
68,-1.447253333,4096,0,0
69,-1.445736296,3072,0,0
70,-1.444219259,3072,0,0
71,-1.442702222,3072,0,0
72,-1.441185185,3072,0,0
73,-1.439668148,4096,0,0
74,-1.438151111,3072,0,0
75,-1.436634074,4096,0,0
76,-1.435117037,5120,0,0
77,-1.433600000,3072,0,0
78,-1.432082963,3072,0,0
79,-1.430565926,2048,0,0
80,-1.429048889,1024,0,0
81,-1.427531852,2048,0,0
82,-1.426014815,0,0,0
83,-1.424497778,2048,0,0
84,-1.422980741,3072,0,0
85,-1.421463704,4096,0,0
86,-1.419946667,2048,0,0
87,-1.418429630,4096,0,0
88,-1.416912593,2048,0,0
89,-1.415395556,2048,0,0
90,-1.413878519,5120,0,0
91,-1.412361481,3072,0,0
92,-1.410844444,1024,0,0
93,-1.409327407,3072,0,0
94,-1.407810370,4096,0,0
95,-1.406293333,2048,0,0
96,-1.404776296,2048,0,0
97,-1.403259259,2048,0,0
98,-1.401742222,0,0,0
99,-1.400225185,1024,0,0
100,-1.398708148,1024,0,0
101,-1.397191111,1024,0,0
102,-1.395674074,0,0,0
103,-1.394157037,0,0,0
104,-1.392640000,0,0,0
105,-1.391122963,2048,0,0
106,-1.389605926,1024,0,0
107,-1.388088889,0,0,0
108,-1.386571852,0,0,0
109,-1.385054815,1024,0,0
110,-1.383537778,-1024,0,0
111,-1.382020741,0,0,0
112,-1.380503704,1024,0,0
